,D/H Sample,ID,intensidadeVentoKM,temperatura,radiacao,idDireccVento,precAcumulada,intensidadeVento,humidade,pressao
0,2021-12-01T18:00,1210881,9.7,16.5,-99.0,7,0.0,2.7,60.0,1022.8
1,2021-12-01T18:00,1200533,19.8,14.8,-99.0,8,-99.0,5.5,88.0,1024.1
2,2021-12-01T18:00,11217430,9.7,15.3,102.1,9,0.0,2.7,99.0,-99.0
3,2021-12-01T18:00,6212121,5.4,8.6,4.0,6,-99.0,1.5,84.0,1021.2
4,2021-12-01T18:00,1200560,4.0,7.3,-99.0,8,0.0,1.1,96.0,1022.5
5,2021-12-01T18:00,1200535,13.7,14.3,6.3,8,0.0,3.8,89.0,1022.7
6,2021-12-01T18:00,1210721,-99.0,12.4,-99.0,0,0.1,-99.0,88.0,-99.0
7,2021-12-01T18:00,1210956,9.0,19.3,42.4,3,0.0,2.5,69.0,-99.0
8,2021-12-01T18:00,1210960,7.6,16.6,-99.0,3,0.0,2.1,87.0,1028.3
9,2021-12-01T18:00,1210965,-99.0,15.3,121.4,0,0.0,-99.0,85.0,-99.0
10,2021-12-01T18:00,1210967,-99.0,16.5,36.7,0,0.0,-99.0,77.0,-99.0
11,2021-12-01T18:00,1210970,-99.0,6.5,215.8,0,0.0,-99.0,99.0,-99.0
12,2021-12-01T18:00,1210972,23.4,9.6,164.4,4,0.0,6.5,90.0,-99.0
13,2021-12-01T18:00,1210973,28.1,6.2,-99.0,2,0.0,7.8,100.0,-99.0
14,2021-12-01T18:00,1210974,-99.0,4.4,-99.0,0,0.0,-99.0,100.0,-99.0
15,2021-12-01T18:00,1210975,-99.0,12.1,169.9,0,0.1,-99.0,48.0,-99.0
16,2021-12-01T18:00,1210976,2.9,14.4,-99.0,8,0.0,0.8,72.0,-99.0
17,2021-12-01T18:00,1210978,12.6,17.8,-99.0,9,0.0,3.5,72.0,-99.0
18,2021-12-01T18:00,1240675,-99.0,8.4,-99.0,0,0.0,-99.0,97.0,-99.0
19,2021-12-01T18:00,1210980,27.7,10.8,-99.0,2,0.0,7.7,100.0,-99.0
20,2021-12-01T18:00,11217510,13.3,11.2,336.3,6,0.0,3.7,100.0,-99.0
21,2021-12-01T18:00,1210984,-99.0,16.1,91.3,0,0.0,-99.0,69.0,-99.0
22,2021-12-01T18:00,1210986,8.3,19.8,-99.0,6,0.0,2.3,66.0,1026.5
23,2021-12-01T18:00,1210987,3.2,14.8,-99.0,6,0.0,0.9,75.0,-99.0
24,2021-12-01T18:00,1210990,4.0,18.3,-99.0,5,0.0,1.1,70.0,1027.1
25,2021-12-01T18:00,1200571,20.9,9.5,0.2,8,0.3,5.8,100.0,1019.9
26,2021-12-01T18:00,6212123,4.3,10.9,3.0,6,-99.0,1.2,84.0,1022.6
27,2021-12-01T18:00,1200522,13.7,19.4,-99.0,3,0.0,3.8,61.0,1027.2
28,2021-12-01T18:00,11217625,5.0,12.3,215.2,3,0.0,1.4,94.0,-99.0
29,2021-12-01T18:00,6214522,10.4,10.7,-99.0,8,0.0,2.9,91.0,-99.0
30,2021-12-01T18:00,6214523,-99.0,-99.0,0.0,0,-99.0,-99.0,93.0,-99.0
31,2021-12-01T18:00,11217645,2.2,13.7,149.6,3,0.0,0.6,99.0,-99.0
32,2021-12-01T18:00,1210615,4.3,11.9,0.0,7,-99.0,1.2,79.0,-99.0
33,2021-12-01T18:00,1210616,14.8,10.5,0.0,8,-99.0,4.1,64.0,1020.5
34,2021-12-01T18:00,1210619,2.5,7.7,-99.0,6,-99.0,0.7,87.0,-99.0
35,2021-12-01T18:00,1210622,14.0,11.4,0.2,8,0.0,3.9,79.0,-99.0
36,2021-12-01T18:00,1210630,4.7,9.4,0.0,0,0.0,1.3,84.0,-99.0
37,2021-12-01T18:00,11217160,8.3,17.3,185.8,5,0.4,2.3,81.0,-99.0
38,2021-12-01T18:00,1210635,12.2,7.3,-99.0,7,0.0,3.4,83.0,-99.0
39,2021-12-01T18:00,11217165,27.4,17.0,152.6,3,0.0,7.6,84.0,-99.0
40,2021-12-01T18:00,1210643,7.6,9.6,-99.0,7,0.0,2.1,87.0,-99.0
41,2021-12-01T18:00,1210644,1.4,7.7,0.0,8,0.0,0.4,80.0,-99.0
42,2021-12-01T18:00,1210649,7.2,11.0,0.0,8,-99.0,2.0,84.0,-99.0
